user_id,gender,age,occu,sign,is_female
3586335,female,15,indUnk,Capricorn,1
475855,female,26,Communications-Media,Virgo,1
584088,male,33,Education,Pisces,0
3416845,male,33,Telecommunications,Virgo,0
575672,male,17,indUnk,Gemini,0
3576915,male,15,Student,Scorpio,0
3511707,male,14,Student,Taurus,0
3785455,female,17,Student,Sagittarius,1
3143116,male,25,Education,Scorpio,0
4021779,female,15,indUnk,Pisces,1
4135385,male,33,Arts,Capricorn,0
4135893,male,17,Biotech,Libra,0
2994904,female,40,indUnk,Pisces,1
3842098,male,23,indUnk,Gemini,0
1673216,male,17,Student,Taurus,0
3811966,female,16,Student,Aquarius,1
2813430,male,33,indUnk,Taurus,0
813893,female,17,indUnk,Taurus,1
3225745,female,16,Student,Taurus,1
4183345,female,45,indUnk,Leo,1
3657741,female,23,indUnk,Cancer,1
1231400,female,24,indUnk,Cancer,1
3816474,male,35,Marketing,Aries,0
3986222,female,16,Student,Leo,1
3603350,male,13,indUnk,Capricorn,0
4149927,female,15,indUnk,Sagittarius,1
3652800,female,23,Non-Profit,Virgo,1
3356021,female,25,Marketing,Virgo,1
3522724,male,25,Banking,Cancer,0
3954115,female,14,Student,Libra,1
3966916,male,17,Arts,Aquarius,0
727002,male,23,Internet,Leo,0
3470844,female,26,indUnk,Libra,1
3628375,female,16,Student,Virgo,1
3491965,male,16,indUnk,Cancer,0
3339284,female,17,Student,Gemini,1
1872244,female,25,Education,Libra,1
3033343,male,26,Student,Aries,0
1684977,male,17,indUnk,Cancer,0
3714547,female,23,indUnk,Capricorn,1
3646978,female,35,indUnk,Virgo,1
4117346,female,25,indUnk,Leo,1
3301558,male,17,Student,Aquarius,0
3571141,female,23,indUnk,Pisces,1
3092806,female,13,Student,Sagittarius,1
4126143,female,17,Student,Aries,1
3661101,female,14,indUnk,Gemini,1
3519573,male,33,Internet,Pisces,0
3593701,female,24,Technology,Scorpio,1
2613609,male,26,Military,Libra,0
3534196,male,27,Banking,Cancer,0
3589390,male,17,Student,Scorpio,0
4011857,male,15,Student,Aries,0
1835380,female,16,Chemicals,Taurus,1
3310103,male,34,indUnk,Capricorn,0
2832925,female,24,Marketing,Pisces,1
3860294,male,14,indUnk,Capricorn,0
3348517,female,35,Arts,Aquarius,1
3822811,male,14,Education,Virgo,0
4181760,male,34,Technology,Aries,0
3313527,female,24,Student,Libra,1
4034931,female,14,Student,Sagittarius,1
3417704,female,25,indUnk,Scorpio,1
2408670,male,27,Manufacturing,Leo,0
4151934,female,26,indUnk,Libra,1
3622707,female,15,indUnk,Cancer,1
3744242,male,17,Student,Capricorn,0
3377005,male,26,indUnk,Sagittarius,0
4131346,male,15,Arts,Libra,0
3676956,male,17,Student,Cancer,0
3598234,male,26,indUnk,Leo,0
4111148,female,27,indUnk,Virgo,1
1166708,female,26,Arts,Aquarius,1
3332774,male,14,indUnk,Leo,0
3785559,male,27,indUnk,Aquarius,0
3866526,male,26,indUnk,Aquarius,0
4109882,female,17,indUnk,Sagittarius,1
3508102,female,17,indUnk,Capricorn,1
766556,female,34,indUnk,Sagittarius,1
4263666,female,17,Student,Aries,1
3992953,female,23,indUnk,Libra,1
3679928,female,15,indUnk,Capricorn,1
4211628,female,14,indUnk,Libra,1
4278190,female,17,Student,Sagittarius,1
3708279,female,27,indUnk,Aquarius,1
3047815,male,15,Student,Cancer,0
3623567,male,15,indUnk,Leo,0
4170896,female,13,Student,Cancer,1
559292,female,25,indUnk,Taurus,1
3344741,female,15,Student,Aries,1
4100534,female,23,Marketing,Aquarius,1
3817741,male,15,indUnk,Aquarius,0
4032401,male,23,Arts,Aquarius,0
3554317,male,17,Student,Aquarius,0
3556796,female,15,Student,Pisces,1
3908329,female,24,RealEstate,Pisces,1
2988169,male,25,Technology,Leo,0
4010370,male,15,Student,Capricorn,0
3551131,male,16,Education,Leo,0
4176187,female,13,indUnk,Aquarius,1
3089750,female,26,Consulting,Libra,1
3529719,female,23,Science,Capricorn,1
3304020,male,36,indUnk,Capricorn,0
