"personage","gender","how_old_they_are","whatTheyDoForWork","ascending_sun_sign","is_female"
3851137,"male",14,"Science","Capricorn",0
3914258,"male",13,"Student","Virgo",0
1668490,"female",26,"Chemicals","Gemini",1
3715812,"female",13,"indUnk","Libra",1
3810527,"male",27,"indUnk","Virgo",0
3299359,"male",17,"indUnk","Gemini",0
3340458,"male",26,"Internet","Libra",0
3681578,"male",17,"Student","Leo",0
4255242,"female",15,"Education","Gemini",1
3872874,"female",23,"Science","Taurus",1
3911836,"female",23,"indUnk","Taurus",1
4149439,"female",35,"HumanResources","Cancer",1
4215892,"female",15,"Student","Cancer",1
3597932,"female",40,"indUnk","Virgo",1
3839018,"female",24,"Arts","Libra",1
4273458,"male",27,"Internet","Aries",0
3731602,"male",26,"indUnk","Sagittarius",0
3568314,"female",40,"indUnk","Virgo",1
4124898,"male",43,"Construction","Cancer",0
2002478,"male",25,"Science","Sagittarius",0
3447366,"male",25,"indUnk","Aries",0
3057795,"female",14,"Student","Pisces",1
3701023,"female",34,"indUnk","Capricorn",1
2952959,"female",24,"indUnk","Capricorn",1
3376407,"female",14,"Student","Aquarius",1
3005033,"female",25,"Communications-Media","Gemini",1
1807720,"female",16,"Student","Leo",1
3874402,"female",15,"indUnk","Sagittarius",1
3491774,"male",36,"indUnk","Gemini",0
4144593,"male",16,"Student","Scorpio",0
3391462,"male",15,"Student","Aries",0
4251627,"female",15,"Student","Pisces",1
3343256,"male",23,"indUnk","Virgo",0
4053881,"male",23,"Technology","Scorpio",0
3295085,"male",15,"indUnk","Aquarius",0
3328632,"male",16,"Student","Sagittarius",0
298924,"male",25,"Student","Gemini",0
3314642,"female",42,"indUnk","Sagittarius",1
3864561,"female",23,"Student","Cancer",1
1939723,"male",25,"Student","Pisces",0
4191471,"male",25,"Communications-Media","Aquarius",0
3523319,"male",24,"Internet","Pisces",0
3229623,"female",14,"indUnk","Leo",1
3498546,"female",23,"indUnk","Capricorn",1
3976928,"male",23,"Communications-Media","Cancer",0
3051029,"female",36,"Technology","Pisces",1
3228857,"female",15,"indUnk","Gemini",1
3875922,"female",17,"Student","Pisces",1
3342074,"female",23,"HumanResources","Leo",1
3457907,"female",17,"indUnk","Sagittarius",1
3384319,"female",15,"indUnk","Libra",1
4015154,"male",24,"Non-Profit","Aquarius",0
3386364,"male",23,"Science","Virgo",0
4141194,"female",24,"Tourism","Aries",1
3618816,"female",15,"Student","Libra",1
3590558,"female",14,"Student","Pisces",1
3588446,"female",23,"Education","Cancer",1
3898977,"female",38,"Publishing","Leo",1
303162,"female",38,"indUnk","Virgo",1
3798944,"male",23,"Banking","Capricorn",0
3633973,"female",14,"indUnk","Scorpio",1
994616,"male",17,"Student","Libra",0
2686344,"female",15,"Education","Pisces",1
3294420,"male",38,"Technology","Taurus",0
3876313,"female",27,"Education","Pisces",1
2621153,"male",16,"Arts","Scorpio",0
4184613,"male",23,"Engineering","Scorpio",0
3961216,"male",36,"Communications-Media","Cancer",0
3698513,"female",16,"indUnk","Virgo",1
4101326,"female",17,"indUnk","Gemini",1
3208819,"male",23,"Student","Aries",0
3493010,"female",13,"indUnk","Pisces",1
1880181,"male",25,"Government","Gemini",0
3385100,"female",16,"indUnk","Taurus",1
4287012,"female",17,"Student","Taurus",1
3403180,"female",40,"Accounting","Scorpio",1
4063562,"male",16,"Student","Scorpio",0
2635791,"female",23,"indUnk","Leo",1
4117187,"female",16,"Student","Gemini",1
3656772,"female",17,"Student","Capricorn",1
3903248,"male",23,"Student","Gemini",0
3540941,"male",24,"indUnk","Capricorn",0
