"person","gender","how_old_they_are","whatTheyDoForWork","ascending_sun_sign","is_female"
4316235,"female",24,"Accounting","Taurus",1
3483306,"male",23,"Manufacturing","Gemini",0
3905703,"female",16,"Student","Capricorn",1
3409695,"male",23,"Student","Gemini",0
4101122,"female",17,"indUnk","Capricorn",1
3767498,"male",26,"indUnk","Aries",0
4076602,"female",15,"indUnk","Cancer",1
4293476,"female",34,"Education","Leo",1
3294600,"male",24,"Student","Scorpio",0
3360487,"female",16,"Student","Sagittarius",1
3358452,"female",25,"indUnk","Sagittarius",1
4178363,"female",14,"Student","Leo",1
3950737,"male",15,"Student","Gemini",0
3562986,"male",23,"indUnk","Cancer",0
3831004,"female",48,"indUnk","Libra",1
3148889,"female",26,"Communications-Media","Capricorn",1
4021850,"female",17,"indUnk","Taurus",1
3842905,"female",24,"indUnk","Aries",1
3449681,"female",23,"Marketing","Pisces",1
3592827,"female",15,"Student","Aries",1
3833605,"male",26,"Consulting","Taurus",0
3434235,"male",26,"indUnk","Capricorn",0
3510265,"female",26,"Construction","Pisces",1
4230798,"female",17,"indUnk","Virgo",1
4265134,"male",14,"Student","Cancer",0
4322085,"male",15,"indUnk","Aquarius",0
1659469,"male",24,"BusinessServices","Libra",0
3324260,"male",15,"indUnk","Virgo",0
3729893,"male",44,"indUnk","Sagittarius",0
4272884,"male",37,"Internet","Capricorn",0
3986202,"female",14,"indUnk","Scorpio",1
3823343,"male",23,"indUnk","Virgo",0
4062762,"male",27,"indUnk","Sagittarius",0
3539495,"male",13,"Student","Leo",0
3622804,"male",17,"Student","Aries",0
1076363,"male",40,"Communications-Media","Pisces",0
3779991,"male",24,"indUnk","Leo",0
3443144,"male",13,"Education","Scorpio",0
4128695,"female",23,"indUnk","Capricorn",1
3372328,"male",26,"Arts","Cancer",0
4221733,"male",17,"Non-Profit","Leo",0
3923199,"male",15,"Tourism","Aries",0
3617908,"female",47,"Accounting","Pisces",1
4286510,"female",24,"Museums-Libraries","Gemini",1
3310924,"male",24,"Technology","Libra",0
4112771,"male",24,"Arts","Capricorn",0
3818069,"female",25,"indUnk","Scorpio",1
3516010,"male",16,"indUnk","Gemini",0
889280,"female",17,"Student","Aries",1
2659525,"male",27,"Transportation","Leo",0
4272895,"male",25,"Arts","Cancer",0
3914973,"female",13,"indUnk","Scorpio",1
1854630,"male",13,"Student","Pisces",0
3598226,"male",23,"Student","Aquarius",0
3841325,"male",36,"indUnk","Taurus",0
3319837,"female",24,"indUnk","Aries",1
2032593,"male",24,"Arts","Libra",0
3698442,"female",46,"Arts","Leo",1
4193797,"male",44,"Engineering","Cancer",0
3618824,"female",14,"indUnk","Sagittarius",1
3661375,"female",15,"Arts","Libra",1
1396260,"female",23,"indUnk","Cancer",1
3230155,"female",25,"indUnk","Aries",1
3861238,"male",26,"Publishing","Capricorn",0
3696098,"female",17,"Student","Aries",1
3448501,"male",13,"indUnk","Gemini",0
3742067,"female",16,"indUnk","Capricorn",1
4200165,"male",14,"indUnk","Aquarius",0
4123884,"male",14,"indUnk","Leo",0
3739687,"female",24,"Education","Virgo",1
4238533,"male",14,"indUnk","Pisces",0
3544307,"female",27,"indUnk","Scorpio",1
3689384,"male",13,"indUnk","Taurus",0
3990174,"male",16,"Student","Pisces",0
1598918,"male",27,"Education","Aries",0
4233099,"male",17,"Student","Capricorn",0
3831342,"female",46,"Science","Scorpio",1
1949004,"female",25,"Marketing","Sagittarius",1
3774991,"male",14,"indUnk","Cancer",0
3902340,"male",35,"Communications-Media","Leo",0
4089430,"male",25,"Technology","Capricorn",0
